WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
benefit	3CDD533C51DD875FFF5047BC36C8013C	1	9	9	7
safe	3CDD533C51DD875FFF5047BC36C8013C	1	9	1	9
protector	A7B9A613CF8F39A8815F6C2F66F0A6C4	1	9	1	9
preserve	A7B9A613CF8F39A8815F6C2F66F0A6C4	1	5	3	9
damage	3CDD533C51DD875FFF5047BC36C8013C	1	1	5	9
cruelty	3CDD533C51DD875FFF5047BC36C8013C	1	1	5	4
crush	3CDD533C51DD875FFF5047BC36C8013C	1	1	5	5
protectorship	382235231A1554D2CF102326A186B317	1	7	7	8
care	382235231A1554D2CF102326A186B317	1	9	6	9
safekeeping	382235231A1554D2CF102326A186B317	1	8	2	9
hurt	382235231A1554D2CF102326A186B317	1	3	7	1
crush	382235231A1554D2CF102326A186B317	1	2	7	2
safety	2D587D9C1DA11AADB7C472CBF50C3C55	1	9	9	9
war	2D587D9C1DA11AADB7C472CBF50C3C55	1	2	2	1
abuse	2D587D9C1DA11AADB7C472CBF50C3C55	1	1	1	1
abandon	2D587D9C1DA11AADB7C472CBF50C3C55	1	1	1	1
kill	2D587D9C1DA11AADB7C472CBF50C3C55	1	1	9	1
compassionate	2D587D9C1DA11AADB7C472CBF50C3C55	1	9	9	9
destroy	CEF0FB90AC6E8D13EC867A7D9A134C76	1	2	6	1
hurt	CEF0FB90AC6E8D13EC867A7D9A134C76	1	3	6	1
peacetime	640B80C3C13FEA2C95C24E3617E97668	1	7	2	9
war	640B80C3C13FEA2C95C24E3617E97668	1	1	5	1
defendant	640B80C3C13FEA2C95C24E3617E97668	1	4	6	3
impair	640B80C3C13FEA2C95C24E3617E97668	1	5	4	5
attack	640B80C3C13FEA2C95C24E3617E97668	1	1	7	1
protectorship	4AC6E9698ACA589293CD56A916EBB9E3	1	6	3	9
damage	4AC6E9698ACA589293CD56A916EBB9E3	1	1	5	1
destroy	4AC6E9698ACA589293CD56A916EBB9E3	1	1	5	1
kill	D48AC4E9D32D107E33F6CA9E6B109024	1	1	5	1
sympathetic	D48AC4E9D32D107E33F6CA9E6B109024	1	9	1	9
shelter	B67FC86A263C6CB5803272EE63C3B8E3	1	6	5	9
detrimental	4AC6E9698ACA589293CD56A916EBB9E3	1	3	5	2
defense	4AC6E9698ACA589293CD56A916EBB9E3	1	5	5	5
killer	D48AC4E9D32D107E33F6CA9E6B109024	1	1	5	1
impair	B67FC86A263C6CB5803272EE63C3B8E3	1	2	7	2
attack	D48AC4E9D32D107E33F6CA9E6B109024	1	1	5	1
preserve	AFB3DCFABE98794788FEFCA2B82343DF	1	5	6	5
wound	D48AC4E9D32D107E33F6CA9E6B109024	1	1	6	1
benefit	B67FC86A263C6CB5803272EE63C3B8E3	1	6	6	7
violence	AFB3DCFABE98794788FEFCA2B82343DF	1	4	5	3
guard	B67FC86A263C6CB5803272EE63C3B8E3	1	6	6	7
detrimental	AFB3DCFABE98794788FEFCA2B82343DF	1	3	4	3
empathetic	20D8918E6756A92FA7BA0F1FD3D65E38	1	8	1	7
endangered	927C72C515189A6068C4C3A5180CEAED	1	3	5	7
peacenik	AFB3DCFABE98794788FEFCA2B82343DF	1	6	4	7
peacemaker	20D8918E6756A92FA7BA0F1FD3D65E38	1	7	1	9
crush	395073F7283E212507004C12C8016C8A	1	2	5	2
brutal	AFB3DCFABE98794788FEFCA2B82343DF	1	3	3	2
preserve	395073F7283E212507004C12C8016C8A	1	6	7	9
wound	395073F7283E212507004C12C8016C8A	1	2	7	2
compassion	395073F7283E212507004C12C8016C8A	1	7	4	8
shelter	927C72C515189A6068C4C3A5180CEAED	1	8	8	7
detrimental	20D8918E6756A92FA7BA0F1FD3D65E38	1	3	5	2
protection	20D8918E6756A92FA7BA0F1FD3D65E38	1	8	2	9
care	927C72C515189A6068C4C3A5180CEAED	1	9	1	9
safety	20D8918E6756A92FA7BA0F1FD3D65E38	1	8	1	9
safehold	36FD03A62126D82AB9487AAB3DE9C175	1	7	6	8
preserve	36FD03A62126D82AB9487AAB3DE9C175	1	6	6	7
crush	36FD03A62126D82AB9487AAB3DE9C175	1	2	3	1
brutal	927C72C515189A6068C4C3A5180CEAED	1	1	5	1
protectionist	36FD03A62126D82AB9487AAB3DE9C175	1	7	7	7
sympathize	36FD03A62126D82AB9487AAB3DE9C175	1	7	6	7
safety	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
peace	BCC3FDECA7E357C86CE9B1AA10187BDF	1	6	7	8
violence	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	3
care	4AC6E9698ACA589293CD56A916EBB9E3	1	9	5	9
endangerment	4AC6E9698ACA589293CD56A916EBB9E3	1	1	1	1
abandon	4AC6E9698ACA589293CD56A916EBB9E3	1	1	5	1
crusher	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
protectionist	4AC6E9698ACA589293CD56A916EBB9E3	1	9	5	9
sympathize	4AC6E9698ACA589293CD56A916EBB9E3	1	9	1	9
hurt	4AC6E9698ACA589293CD56A916EBB9E3	1	2	5	2
brutalise	4AC6E9698ACA589293CD56A916EBB9E3	1	2	5	2
cruelly	4AC6E9698ACA589293CD56A916EBB9E3	1	2	5	2
abuse	4AC6E9698ACA589293CD56A916EBB9E3	1	1	5	1
abandon	22DE6B567ADECD8F0AC434D54A01AF24	1	3	3	3
protectionism	5DD02FF3C1104891DFD8AC3491233BDC	1	7	4	5
safeguard	22DE6B567ADECD8F0AC434D54A01AF24	1	7	7	3
endangerment	5DD02FF3C1104891DFD8AC3491233BDC	1	4	6	5
shelter	5DD02FF3C1104891DFD8AC3491233BDC	1	5	6	4
brutalise	D84064788C4ABD566A7A8653FBA4158A	1	1	3	1
protection	22DE6B567ADECD8F0AC434D54A01AF24	1	7	8	8
safety	D84064788C4ABD566A7A8653FBA4158A	1	9	1	9
safehold	5DD02FF3C1104891DFD8AC3491233BDC	1	5	8	6
abuse	5DD02FF3C1104891DFD8AC3491233BDC	1	5	7	6
spurn	90FA06BA5A8D5877F48230D349D517E0	1	2	2	1
crusher	22DE6B567ADECD8F0AC434D54A01AF24	1	7	6	3
safekeeping	D84064788C4ABD566A7A8653FBA4158A	1	9	9	9
peacekeeping	90FA06BA5A8D5877F48230D349D517E0	1	8	8	9
defenseless	22DE6B567ADECD8F0AC434D54A01AF24	1	2	3	2
protectorship	D84064788C4ABD566A7A8653FBA4158A	1	9	9	9
peace	D84064788C4ABD566A7A8653FBA4158A	1	9	9	9
defendant	90FA06BA5A8D5877F48230D349D517E0	1	3	4	3
wound	88D7DF2C238388FF7CCC72E40A9B4577	1	3	4	4
peacekeeping	88D7DF2C238388FF7CCC72E40A9B4577	1	6	3	8
peacemaker	88D7DF2C238388FF7CCC72E40A9B4577	1	7	3	8
protector	2093BA6A9F5529E48FDC8890ADA8AC36	1	8	2	9
exploit	2093BA6A9F5529E48FDC8890ADA8AC36	1	1	6	2
kill	88D7DF2C238388FF7CCC72E40A9B4577	1	4	7	1
safekeeping	88D7DF2C238388FF7CCC72E40A9B4577	1	7	4	8
peaceable	2093BA6A9F5529E48FDC8890ADA8AC36	1	9	1	9
peacekeeping	328DA17593A61A80331F656D235924D7	1	7	7	9
brutalise	328DA17593A61A80331F656D235924D7	1	1	6	1
peaceable	328DA17593A61A80331F656D235924D7	1	6	4	5
amity	BF74AAE3CFDF7F526F608BD094BC9CAA	1	5	7	6
suffer	BF74AAE3CFDF7F526F608BD094BC9CAA	1	5	7	6
defendant	BF74AAE3CFDF7F526F608BD094BC9CAA	1	5	6	4
empathetic	BF74AAE3CFDF7F526F608BD094BC9CAA	1	6	8	5
shield	BF74AAE3CFDF7F526F608BD094BC9CAA	1	4	9	5
endangerment	328DA17593A61A80331F656D235924D7	1	2	7	1
protection	328DA17593A61A80331F656D235924D7	1	7	4	8
sympathy	FCB418018A029FF3B21D7B8AE3E18EB8	1	7	4	9
exploit	FCB418018A029FF3B21D7B8AE3E18EB8	1	1	9	1
security	FCB418018A029FF3B21D7B8AE3E18EB8	1	9	9	9
killer	FCB418018A029FF3B21D7B8AE3E18EB8	1	1	9	1
fight	D6F12FBD96E07B40FE03E40D4F91D0C8	1	3	6	5
exploit	D6F12FBD96E07B40FE03E40D4F91D0C8	1	5	5	6
defenseless	D6F12FBD96E07B40FE03E40D4F91D0C8	1	3	5	9
crusher	D6F12FBD96E07B40FE03E40D4F91D0C8	1	2	6	1
cruelty	D6F12FBD96E07B40FE03E40D4F91D0C8	1	1	6	1
protector	D6F12FBD96E07B40FE03E40D4F91D0C8	1	7	6	9
peaceable	D6F12FBD96E07B40FE03E40D4F91D0C8	1	7	5	8
defense	586EF5A47BD329D537DDB3E7D413A871	1	5	5	5
peacetime	D6F12FBD96E07B40FE03E40D4F91D0C8	1	8	6	8
security	586EF5A47BD329D537DDB3E7D413A871	1	7	3	7
destroy	D6F12FBD96E07B40FE03E40D4F91D0C8	1	1	7	1
compassionate	68C5A2861FEA72A6C6DFA762A62C4594	1	6	7	6
protectionist	D6F12FBD96E07B40FE03E40D4F91D0C8	1	6	6	8
cruelty	68C5A2861FEA72A6C6DFA762A62C4594	1	5	7	5
compassionate	586EF5A47BD329D537DDB3E7D413A871	1	7	6	8
detrimental	68C5A2861FEA72A6C6DFA762A62C4594	1	5	8	4
defenestration	68C5A2861FEA72A6C6DFA762A62C4594	1	4	9	6
spurn	68C5A2861FEA72A6C6DFA762A62C4594	1	4	9	5
defendant	586EF5A47BD329D537DDB3E7D413A871	1	3	4	3
brutal	586EF5A47BD329D537DDB3E7D413A871	1	5	5	5
endangered	586EF5A47BD329D537DDB3E7D413A871	1	5	5	5
empathy	586EF5A47BD329D537DDB3E7D413A871	1	7	7	7
safehold	586EF5A47BD329D537DDB3E7D413A871	1	5	5	5
cruelty	586EF5A47BD329D537DDB3E7D413A871	1	4	5	6
protectorship	586EF5A47BD329D537DDB3E7D413A871	1	8	8	9
safe	586EF5A47BD329D537DDB3E7D413A871	1	7	7	8
peacetime	586EF5A47BD329D537DDB3E7D413A871	1	7	7	8
cruelly	586EF5A47BD329D537DDB3E7D413A871	1	4	5	2
exploit	586EF5A47BD329D537DDB3E7D413A871	1	5	5	5
peacekeeping	586EF5A47BD329D537DDB3E7D413A871	1	5	5	7
amity	586EF5A47BD329D537DDB3E7D413A871	1	8	8	8
fight	586EF5A47BD329D537DDB3E7D413A871	1	7	8	8
shield	586EF5A47BD329D537DDB3E7D413A871	1	7	7	7
defenseless	586EF5A47BD329D537DDB3E7D413A871	1	7	7	8
kill	586EF5A47BD329D537DDB3E7D413A871	1	4	5	4
guard	586EF5A47BD329D537DDB3E7D413A871	1	7	8	7
care	15E79E1BDCA40241D5FE6651A2077621	1	9	2	9
cruelty	15E79E1BDCA40241D5FE6651A2077621	1	1	7	1
annihilation	15E79E1BDCA40241D5FE6651A2077621	1	1	8	1
endangerment	15E79E1BDCA40241D5FE6651A2077621	1	3	7	1
protector	15E79E1BDCA40241D5FE6651A2077621	1	7	4	7
sympathize	15E79E1BDCA40241D5FE6651A2077621	1	9	2	9
shield	15E79E1BDCA40241D5FE6651A2077621	1	7	2	9
sympathetic	15E79E1BDCA40241D5FE6651A2077621	1	7	3	7
security	15E79E1BDCA40241D5FE6651A2077621	1	7	1	8
empathetic	15E79E1BDCA40241D5FE6651A2077621	1	9	1	9
peacenik	15E79E1BDCA40241D5FE6651A2077621	1	6	4	8
peace	15E79E1BDCA40241D5FE6651A2077621	1	8	1	9
sympathy	15E79E1BDCA40241D5FE6651A2077621	1	8	2	9
