WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
exploitatory	ED6CD4280DDF769BDC7E11BCEDC67366	1	5	5	5
exploitatory	17B3FBC4AC55D595225F84535BE4F193	1	1	3	1
exploitatory	FC589FA41270E582A8739C54A2EE996A	1	4	4	4
exploitatory	361B5614BCA7387EAC0939436228E942	1	1	5	1
filth	476B18507C04D8F7F280E2AAF8E7FFB8	1	5	4	5
filth	9F11D5420A244BE16C9407E0EBC5B622	1	3	4	1
filth	7CA3E2D48A821D8A31AF4F3F6E60C1DB	1	3	5	2
filth	7035D5B69A7099407AF2785443AEE603	1	5	6	1
filth	167524568E2482B4FBE330252D2C245C	1	2	5	2
filthily	B37B34AC8BF93F00749321C38A4FB311	1	5	5	5
filthily	BD7BAC8E9D7326073CAEE7890D821A5E	1	5	5	3
filthily	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	7
filthily	927C72C515189A6068C4C3A5180CEAED	1	5	5	5
filthily	7DC67BBF88C50FC5307BB1D499262BDD	1	5	8	6
filthy	6D3A3D88E8B8723EC92B48EED8ADCC81	1	3	6	2
filthy	D6F12FBD96E07B40FE03E40D4F91D0C8	1	2	5	1
filthy	F6D1E29EE791C3C3AB10A6244F67718F	1	3	5	2
filthy	7CA3E2D48A821D8A31AF4F3F6E60C1DB	1	4	5	4
filthy	FFAE76C0572CBFE2302F37419B438E35	1	1	5	1
gross	CBCA895F2198D1F92E028E41EB07F425	1	1	4	1
gross	F6D32999509E123447B7A586F53E4F13	1	7	6	5
gross	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	5
gross	167524568E2482B4FBE330252D2C245C	1	4	5	2
gross	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	4	5	1
gross	9CF68A9F4DA2D683502B19728F0E0200	1	3	5	1
gross	F97D7A4CB94ED478832ABF67B335C6AE	1	5	5	5
heretic	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
heretic	CBCA895F2198D1F92E028E41EB07F425	1	1	7	1
heretic	9B283B91BED0593732408E71DCB958CC	1	3	5	1
heretic	FB73B91F87BE6E8EA3E745DDA7473E2B	1	3	6	1
heretic	D259B7D84FDCB9B687B41AC0463CC8A4	1	4	6	4
heretic	D666A838B0049A29D46688C4BA6DE562	1	5	2	5
holy	44F556E275E2E4D7E37B07D9CB6C422F	1	8	3	8
holy	50F1D17435B53F4BE0F5D1F47C8D7826	1	5	5	9
holy	7CA3E2D48A821D8A31AF4F3F6E60C1DB	1	7	6	7
holy	9C2E01F223AE7768BC0D9843A50A88A5	1	3	4	9
holy	FBA75F1BB5BC48743C59EBD9782B6659	1	5	4	9
holy	D666A838B0049A29D46688C4BA6DE562	1	8	5	9
impiety	72210C9280BA0C3EAE088D6567D51EC2	1	2	4	1
impiety	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	2
impiety	D259B7D84FDCB9B687B41AC0463CC8A4	1	5	6	5
impiety	0FBCF9E6E8EA2D758E4423A0AF949CAF	1	3	7	3
impiety	F97D7A4CB94ED478832ABF67B335C6AE	1	7	7	7
impious	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
impious	7CA3E2D48A821D8A31AF4F3F6E60C1DB	1	4	5	2
impious	85CD358454F9332285BAF07D70D83AA3	1	5	7	3
impious	7DC67BBF88C50FC5307BB1D499262BDD	1	6	5	5
impious	9CF68A9F4DA2D683502B19728F0E0200	1	3	4	1
indecent	27C3C833B6338C7705E1CEAD486656A9	1	2	3	1
indecent	CBCA895F2198D1F92E028E41EB07F425	1	1	7	1
indecent	927C72C515189A6068C4C3A5180CEAED	1	8	8	1
indecent	FC589FA41270E582A8739C54A2EE996A	1	4	5	4
indecent	361B5614BCA7387EAC0939436228E942	1	1	5	1
indecent	85CD358454F9332285BAF07D70D83AA3	1	7	7	3
innocent	DA6AA13408B7C56BCF5D7BAD7FDBBFAA	1	5	5	8
innocent	50F1D17435B53F4BE0F5D1F47C8D7826	1	6	6	9
innocent	D6F12FBD96E07B40FE03E40D4F91D0C8	1	5	5	9
innocent	D666A838B0049A29D46688C4BA6DE562	1	5	1	9
innocent	3CDD533C51DD875FFF5047BC36C8013C	1	7	7	7
integrity	476B18507C04D8F7F280E2AAF8E7FFB8	1	5	5	7
integrity	3878807D71C2653AB071D55EAE734844	1	7	3	9
integrity	4519A9BF578F30C8200843E521E6D0BA	1	5	5	9
integrity	9C2E01F223AE7768BC0D9843A50A88A5	1	5	4	8
integrity	167524568E2482B4FBE330252D2C245C	1	6	3	6
intemperate	7EDBE0DF68F3ECE02C11A7C1C061D7D4	1	4	5	3
intemperate	1FD1B2321B3108A445CB7AC2A1317AE8	1	6	7	5
intemperate	FC589FA41270E582A8739C54A2EE996A	1	5	4	6
intemperate	3CDD533C51DD875FFF5047BC36C8013C	1	5	5	5
intemperate	7DC67BBF88C50FC5307BB1D499262BDD	1	5	5	6
