word,score,freq
certainly,10.304036818037275,3388
population,5.358745593577623,3387
approach,6.622988392133266,3379
across,-0.9465151719050482,3377
bank,0.1179139252053573,3358
experience,9.881040167529136,3358
governments,5.03871488943696,3350
water,5.10600250645075,3347
results,0.9936044169589876,3338
demand,8.402022730791941,3333
association,-5.134686098375823,3332
investment,7.010745880368631,3325
director,-9.979510233504698,3322
review,-6.151455805404112,3307
held,-2.5007399689638987,3304
particular,8.98574601765722,3296
shall,2.912603106815368,3292
sure,5.818460155511275,3290
lower,4.909972530906089,3287
created,3.2472069814102724,3277
lost,0.7456115366658196,3274
presidential,-12.58185082039563,3266
saying,1.211783941136673,3263
cities,4.042118777986616,3262
sort,8.184314375219401,3258
stop,1.00524683133699,3255
angeles,-5.885231885942631,3255
various,2.221855355484877,3252
talk,1.736804932821542,3252
board,-9.353171524649952,3251
subject,4.84580471389927,3251
passed,-7.100832673721016,3249
move,1.2812078474089503,3237
start,2.529020779300481,3237
increased,3.566009186441079,3235
shows,3.464907980232965,3229
professor,-1.971236893092282,3229
sometimes,8.854438609792851,3224
create,8.958008510060608,3204
necessary,8.036694569978863,3198
areas,7.58689387422055,3190
paper,-2.822134690592065,3178
middle,1.8764094810467211,3168
legislation,-3.7353728177258745,3157
efforts,-0.4650982077000662,3147
production,8.800989377079532,3146
paid,3.916690884390846,3142
soon,-3.135485111386515,3140
wanted,-0.2025628223782405,3135
limited,7.642544965870911,3131
notes,-2.0195201276801527,3127
west,-1.1973570334957913,3122
finally,-5.102989539183909,3116
protection,4.733776307897642,3114
points,1.1824872277211398,3111
studies,0.6931960850488394,3109
wants,1.2858430517371744,3102
dollars,4.578192072804086,3098
project,-4.333455881103873,3098
works,5.852158104884438,3090
started,-3.2612087462621275,3083
potential,7.776127428049222,3081
rule,3.106322333915159,3080
supply,7.688958385027945,3078
everything,7.358837515581399,3077
politicians,-0.2438734797760844,3074
building,0.411671525798738,3072
basic,10.056866035680288,3070
decades,0.269862926856149,3067
housing,3.931918661110103,3063
authority,0.6662808624096215,3058
analysis,4.1707831567619,3057
allowed,3.1986484659137204,3052
resources,9.417217159701975,3050
strong,3.25137935904786,3049
allow,5.279021269758232,3049
violence,3.4997053937986493,3046
reported,-6.664427318115486,3039
values,12.633027292322367,3038
kids,4.939524048240855,3037
involved,4.323364221083466,3036
march,-15.382447196636347,3035
response,-2.7363813638221477,3030
period,0.8465512502007186,3030
systems,8.093248897930607,3024
growing,4.318167776567861,3023
worth,5.971231534727849,3017
credit,3.815341772977263,3006
safety,0.6089912445168011,2996
reports,-8.560449023731053,2979
together,1.5605834571179005,2976
spent,-1.3257438587024808,2972
british,-6.841596040409058,2967
